dim_x_weight,dim_y_weight,dim_z_weight
100.8267795926598,5.260029561366135,10.041370446238503
33.103813559322035,5.878963891403779,9.993504222255535
20.002000200020003,6.649687797157924,10.000800064005121
14.295925661186562,7.724811321483473,10.022651191693226
11.156480799696544,9.084714967067908,10.015022533800702
9.086943879034603,11.15374319621665,9.981036031540073
7.703448063353157,14.28510206705427,9.966909859267233
6.717992126513228,19.84638894953063,10.03331059116266
5.845286945136137,33.47504435443377,9.949159793455443
5.249261166490816,100.41168792047394,9.99700089973008
